original_picture5,Red,Green,Blue,,Red2-4,Red2-5,Blue2-4,Blue2-5,,Red2-5ê≥ãKâª,Red2-4ê≥ãKâª,Blue2-5ê≥ãKâª,Blue2-4ê≥ãKâª
208,11317,56,0,,0,0,0,0,,0,0,21,1
209,11155,39,0,,0,0,0,0,,25,0,0,0
210,10671,30,0,,0,0,0,0,,0,6,25,0
211,10232,17,0,,0,0,0,0,,0,0,14,1
212,9727,17,0,,0,0,0,0,,13,0,0,0
213,9230,11,0,,0,0,0,0,,0,5,10,1
214,8799,5,0,,0,0,0,0,,13,0,0,0
215,8502,4,0,,0,0,0,0,,0,0,6,0
216,8081,4,0,,0,0,0,0,,6,9,0,0
217,7695,1,0,,0,0,0,0,,0,0,8,0
218,7236,0,0,,0,0,0,0,,0,0,0,0
219,6873,3,0,,0,0,0,0,,7,6,5,0
220,6470,0,0,,0,0,0,0,,0,0,8,0
221,6298,0,0,,0,0,0,0,,7,0,0,0
222,5729,0,0,,0,0,0,0,,0,0,4,0
223,5677,0,0,,0,0,0,0,,0,1,0,0
224,5304,0,0,,0,0,0,0,,3,0,2,0
225,4877,0,0,,0,0,0,0,,0,0,0,0
226,4548,0,0,,0,0,0,0,,3,1,3,0
227,4277,0,0,,0,0,0,0,,0,0,0,0
228,4002,0,0,,0,0,0,0,,6,0,3,0
229,3782,0,0,,0,0,0,0,,0,3,1,0
230,3669,0,0,,0,0,0,0,,0,0,0,0
231,3336,0,0,,0,0,0,0,,3,0,3,0
232,3129,0,0,,0,0,0,0,,0,1,0,0
233,2949,0,0,,0,0,0,0,,1,0,2,1
234,2751,0,0,,0,0,0,0,,0,0,0,0
235,2547,0,0,,0,0,0,0,,2,0,0,0
236,2332,0,0,,0,0,0,0,,0,0,0,0
237,2162,0,0,,0,0,0,0,,0,0,1,0
238,1860,0,0,,0,0,0,0,,1,0,3,0
239,1759,0,0,,0,0,0,0,,0,1,0,0
240,1452,0,0,,0,0,0,0,,0,0,3,0
241,1313,0,0,,0,0,0,0,,0,0,0,0
242,1054,0,0,,0,0,0,0,,0,0,0,0
243,1029,0,0,,0,0,0,0,,1,0,0,0
244,828,0,0,,0,0,0,0,,0,0,1,0
245,706,0,0,,0,0,0,0,,0,0,0,0
246,622,0,0,,0,0,0,0,,0,0,0,1
247,498,0,0,,0,0,0,0,,0,0,0,0
248,418,0,0,,0,0,0,0,,0,0,0,0
249,386,0,0,,0,0,0,0,,0,0,1,0
250,312,0,0,,0,0,0,0,,0,0,0,0
251,254,0,0,,0,0,0,0,,0,0,0,0
252,242,0,0,,0,0,0,0,,1,0,0,0
253,182,0,0,,0,0,0,0,,0,0,1,0
254,149,0,0,,0,0,0,0,,0,0,0,0
255,373,0,0,,0,0,0,0,,3,1,1,1
